sha256,path,type
3d64decc169e316ecf8f10c58d6e010efc77a28b99ba80dd5c0dfaced0ad6d31,./2.11.1/apache-log4j-2.11.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
e29effcda5154fd449b62fd06fec5bf26fdbc64239acad179dd955c250672777,./2.12.0/apache-log4j-2.12.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
da20205355f3b9ad3fc4402e3046adb47ab1891853566a8a949e6d7dde6ef776,./2.10.0/apache-log4j-2.10.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d92121a5a25a3eddc99a907726633ba64432269856d8cd04f99338b070eddd7d,./2.6.2/apache-log4j-2.6.2-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d92121a5a25a3eddc99a907726633ba64432269856d8cd04f99338b070eddd7d,./2.6/apache-log4j-2.6-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
e29effcda5154fd449b62fd06fec5bf26fdbc64239acad179dd955c250672777,./2.12.1/apache-log4j-2.12.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
ebd5645c843d4b5bf2b409123294eb62d0b659161e6e10a10acdc4aa18537dc3,./2.14.1/apache-log4j-2.14.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
da20205355f3b9ad3fc4402e3046adb47ab1891853566a8a949e6d7dde6ef776,./2.9.1/apache-log4j-2.9.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
01a26cb9062365f7c544a57d2a90a86f178495dd13b3faca3256e69a090eba74,./2.4/apache-log4j-2.4-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
ebd5645c843d4b5bf2b409123294eb62d0b659161e6e10a10acdc4aa18537dc3,./2.14.0/apache-log4j-2.14.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
2aef3129ca881726793b206c727981eb5a9e64ab2258a351b04238f3220470be,./2.13.3/apache-log4j-2.13.3-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
2aef3129ca881726793b206c727981eb5a9e64ab2258a351b04238f3220470be,./2.13.2/apache-log4j-2.13.2-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
3d64decc169e316ecf8f10c58d6e010efc77a28b99ba80dd5c0dfaced0ad6d31,./2.11.0/apache-log4j-2.11.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
fcc73739eee74adb5b46d1e12ea26ed91d12808cf2021a6d34fcddd7c02aaaf4,./2.8/apache-log4j-2.8-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
fcc73739eee74adb5b46d1e12ea26ed91d12808cf2021a6d34fcddd7c02aaaf4,./2.8.1/apache-log4j-2.8.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
da20205355f3b9ad3fc4402e3046adb47ab1891853566a8a949e6d7dde6ef776,./2.9.0/apache-log4j-2.9.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
01a26cb9062365f7c544a57d2a90a86f178495dd13b3faca3256e69a090eba74,./2.4.1/apache-log4j-2.4.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d5e81e820da0758d41080253eee34e9ab3d78a25525bf060e008f6638e586055,./2.8.2/apache-log4j-2.8.2-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d92121a5a25a3eddc99a907726633ba64432269856d8cd04f99338b070eddd7d,./2.6.1/apache-log4j-2.6.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
3e190fe48eda05d4c17f8944361c68e0e5821abccef5eeeac79d6e06fb8b6337,./2.11.2/apache-log4j-2.11.2-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
2aef3129ca881726793b206c727981eb5a9e64ab2258a351b04238f3220470be,./2.13.0/apache-log4j-2.13.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
d352a4a99913ba18e8ee89cb00aa5aff937ea88bcb4caefd15bdb7f94f6d26fa,./2.1/apache-log4j-2.1-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
6ebac1560d176f47389a18a8ab191fc8651a494a2878f963d5c531dd46806973,./2.15.0/apache-log4j-2.15.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
